Respondent ID,Start Date,RaceOrEthnicity,What is your gender?,What is your current age?,What is the highest level of education you have completed?,How do you classify your employment?,How long have you been in your current role?,What is your current job title?,How many years of experience do you have in your current industry?,Seniority Level of Position,Promotions,Industry,What type of business?,How many employees are employed by the business?,I feel that my job performance is evaluated fairly.,"I feel that my compensation is fair, relative to similar roles at my company.",I feel confident I can develop my career at my company.,I feel promotion decisions are fair at my company.,I feel my company benefits are adequate.,"I feel that I have been offered potential growth opportunities (mentoring, training, special projects, etc)"
11440340595,3/23/2020 21:10,Black or African American ,Female,35-44,Master's Degree or Higher,Full Time Employee,One to five years,Environmental Health and Safety Program Coordinator,One to five years,Mid level ,   In the last 1 to 5 years ,Research and Development,Non Profit,"250 to 1,000 Employees",Strongly agree,Agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree
11440402607,3/23/2020 21:36,Black or African American ,Female,25-34,Bachelor's Degree,Full Time Employee,One to five years,Social Work Case Manager,Five to ten years,Mid level ,   In the last 1 to 5 years ,Nonprofit ,Non Profit,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11440569505,3/23/2020 22:50,Black or African American ,Female,35-44,Bachelor's Degree,Full Time Employee,Less than one year,Diversity Recruiter,Five to ten years,Mid level ,    Within 12 Months,Finance & Financial Services ,For Profit,"More than 10,000 Employees",Agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree
11440582355,3/23/2020 23:00,Black or African American ,Male,35-44,Master's Degree or Higher,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11440649184,3/23/2020 23:27,White ,Male,45-54,Associate's Degree,Full Time Employee,One to five years,IT Director,Ten years or more,Senior level ,    Within 12 Months,Healthcare & Pharmaceuticals ,For Profit,"250 to 1,000 Employees",Strongly agree,Agree,Agree,Agree,Agree,Strongly agree
11440653658,3/23/2020 23:29,White ,Female,18-24,High School Diploma/GED,Part Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11440671650,3/23/2020 23:37,White ,Female,25-34,Bachelor's Degree,Long Term Contract Employee,Less than one year,Business Analyst,One to five years,Mid level , Never been promoted   ,Finance & Financial Services ,For Profit,"More than 10,000 Employees",Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree
11440731159,3/24/2020 0:07,Asian ,Male,25-34,Master's Degree or Higher,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11440843134,3/24/2020 0:56,White ,female,65+,Master's Degree or Higher,Self Employed/Entrepreneur,Ten years or more,attorney,Ten years or more, self employed, Never been promoted   ,Legal Services ,For Profit,Less than 50 Employees,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11440859155,3/24/2020 1:05,White ,Female,35-44,Master's Degree or Higher,Full Time Employee,One to five years,Sales Account Manager,Five to ten years,Mid level , Never been promoted   ,Entertainment & Leisure ,For Profit,"1,000 to 10,000 Employees",Agree,Agree,Disagree,Neither agree nor disagree,Agree,Somewhat disagree
11440863781,3/24/2020 1:07,Hispanic or Latino ,Female,25-34,Master's Degree or Higher,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11441000319,3/24/2020 2:35,White ,male,25-34,Some College,Full Time Employee,One to five years,admin,One to five years,Senior level , Never been promoted   ,Business Support & Logistics ,For Profit,Less than 50 Employees,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11441730402,3/24/2020 11:22,White ,male,25-34,High School Diploma/GED,Self Employed/Entrepreneur,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11441807124,3/24/2020 12:05,Hispanic or Latino ,Male,25-34,Bachelor's Degree,Full Time Employee,One to five years,Data Analyst,One to five years,Entry level , Never been promoted   ,Insurance ,For Profit,"250 to 1,000 Employees",Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
11442081612,3/24/2020 14:04,White ,Technically female,25-34,Associate's Degree,Part Time Employee,One to five years,Cashier,One to five years,Entry level , Never been promoted   ,Food & Beverages ,For Profit,50 to 250 Employees,Strongly disagree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree
11442085810,3/24/2020 14:06,White ,Female,35-44,Bachelor's Degree,Full Time Employee,One to five years,Financial Advisor,Ten years or more," It can be all of the above. Prior to entering into partnership, I was First VP",Multiple Promotions,Finance & Financial Services ,For Profit,"More than 10,000 Employees",Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree
11442110634,3/24/2020 14:16,White ,Female,35-44,Bachelor's Degree,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11442113302,3/24/2020 14:17,White ,Male,45-54,Some College,Full Time Employee,Less than one year,Area Specifications Representative,Ten years or more,Mid level ,Prefer not to answer    ,"Construction, Machinery, and Homes ",For Profit,50 to 250 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11442113382,3/24/2020 14:17,White ,Female,25-34,Bachelor's Degree,Full Time Employee,One to five years,Manager,Five to ten years,Senior level ,   In the last 1 to 5 years ,Information Technology and Services ,For Profit,"1,000 to 10,000 Employees",Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
11442113462,3/24/2020 14:17,White ,Male,55-64,Bachelor's Degree,Unemployed,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11442115165,3/24/2020 14:18,White ,Male,45-54,Master's Degree or Higher,Full Time Employee,Five to ten years,Client Services Director,Five to ten years,Entry level , Never been promoted   ,Legal Services ,For Profit,Less than 50 Employees,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11442128015,3/24/2020 14:23,White ,Male,35-44,Bachelor's Degree,Full Time Employee,One to five years,Business Development Engineer,Ten years or more,Senior level , Never been promoted   ,"Construction, Machinery, and Homes ",For Profit,"250 to 1,000 Employees",Somewhat agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree
11442266192,3/24/2020 14:28,White ,Female,35-44,Bachelor's Degree,Full Time Employee,One to five years,Donor Relation Manager,Five to ten years,Mid level ,   In the last 1 to 5 years ,Nonprofit ,Non Profit,50 to 250 Employees,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
11442144612,3/24/2020 14:29,White ,male,55-64,Master's Degree or Higher,Full Time Employee,One to five years,Management Analyst,Ten years or more,Mid level ,   In the last 1 to 5 years ,Healthcare & Pharmaceuticals ,Government,"More than 10,000 Employees",Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat disagree
11442168582,3/24/2020 14:38,Asian ,Female,35-44,Master's Degree or Higher,Full Time Employee,One to five years,Senior designer,One to five years,Mid level ,    Within 12 Months,"Construction, Machinery, and Homes ",For Profit,"1,000 to 10,000 Employees",Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
11442234103,3/24/2020 15:03,White ,Male,35-44,Master's Degree or Higher,Full Time Employee,Five to ten years,Associate,Five to ten years,Mid level ,    Within 12 Months,"Construction, Machinery, and Homes ",For Profit,50 to 250 Employees,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
11442249805,3/24/2020 15:08,Hispanic or Latino ,Male,18-24,Bachelor's Degree,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11442281523,3/24/2020 15:18,White ,Male,25-34,Bachelor's Degree,Full Time Employee,Less than one year,Purchasing Specialst,Five to ten years,Entry level , Never been promoted   ,Automotive ,For Profit,50 to 250 Employees,Somewhat agree,Agree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree
11442408416,3/24/2020 15:46,Black or African American ,Female,18-24,Some College,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11442434375,3/24/2020 16:08,Black or African American ,Female,18-24,High School Diploma/GED,Part Time Employee,Less than one year,Declined to Answer,Less than one year,Entry level , Never been promoted   ,Food & Beverages ,For Profit,Less than 50 Employees,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11442447025,3/24/2020 16:12,Black or African American ,Man,35-44,Vocational/Technical School,Full Time Employee,Less than one year,Kitchen Manager,Ten years or more,Senior level ,   In the last 1 to 5 years ,Food & Beverages ,For Profit,50 to 250 Employees,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11442482273,3/24/2020 16:24,Black or African American ,Female,18-24,High School Diploma/GED,Full Time Employee,One to five years,Crew Member,One to five years,Mid level , Never been promoted   ,Food & Beverages ,For Profit,50 to 250 Employees,Disagree,Somewhat disagree,Disagree,Agree,Neither agree nor disagree,Agree
11442500967,3/24/2020 16:30,Black or African American ,Female,45-54,Bachelor's Degree,Unemployed,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11442543977,3/24/2020 16:46,Black or African American ,Females,45-54,High School Diploma/GED,Full Time Employee,Ten years or more,Sale association,Ten years or more, Sales associate, Never been promoted   ,Retail & Consumer Durables ,,50 to 250 Employees,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11442550078,3/24/2020 16:48,Black or African American ,Female,35-44,Some College,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11442573469,3/24/2020 16:56,White ,Male,35-44,Bachelor's Degree,Full Time Employee,Five to ten years,Marketing Manager,Ten years or more,Senior level ,   In the last 1 to 5 years ,Finance & Financial Services ,For Profit,"250 to 1,000 Employees",Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Strongly agree
11442617237,3/24/2020 17:12,Black or African American ,Male,25-34,Some College,Full Time Employee,Less than one year,Assembly,Less than one year,Entry level ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11442678856,3/24/2020 17:35,Black or African American ,Man,25-34,Master's Degree or Higher,Full Time Employee,Less than one year,Quality Engineer,Five to ten years,Mid level ,Prefer not to answer    ,Manufacturing ,For Profit,"1,000 to 10,000 Employees",Strongly agree,Agree,Strongly agree,Agree,Agree,Agree
11442780508,3/24/2020 18:12,White ,M,18-24,Some College,Unemployed,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11442822178,3/24/2020 18:28,Black or African American ,Female,35-44,Bachelor's Degree,Full Time Employee,One to five years,Construction Manager,Ten years or more,Senior level ,    Within 12 Months,Manufacturing ,Government,"250 to 1,000 Employees",Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
11442823145,3/24/2020 18:28,Black or African American ,Male,25-34,Vocational/Technical School,Full Time Employee,Five to ten years,Wire tech,Five to ten years,Entry level , Never been promoted   ,"Telecommunications, Technology, Internet & Electronics ",For Profit,"1,000 to 10,000 Employees",Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Agree
11443193062,3/24/2020 20:48,Prefer not to say ,M,45-54,Vocational/Technical School,Self Employed/Entrepreneur,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11443205950,3/24/2020 20:53,Asian ,Female,35-44,Bachelor's Degree,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11443206877,3/24/2020 20:53,Black or African American ,Male,35-44,Bachelor's Degree,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11443217977,3/24/2020 20:58,Black or African American ,Female,25-34,Some College,Full Time Employee,One to five years,Operator II,Five to ten years,Senior level ,Prefer not to answer    ,Manufacturing ,For Profit,"250 to 1,000 Employees",Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree
11443466730,3/24/2020 22:50,Multiracial or Multiethnic ,Female,25-34,Some College,Part Time Employee,Less than one year,Server,Five to ten years,Entry level , Never been promoted   ,Food & Beverages ,For Profit,Less than 50 Employees,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
11443517906,3/24/2020 23:13,White ,female,55-64,High School Diploma/GED,Unemployed,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11443557979,3/24/2020 23:31,White ,Male,25-34,Master's Degree or Higher,Self Employed/Entrepreneur,One to five years,Engineer,One to five years,Entry level , Never been promoted   ,Manufacturing ,For Profit,50 to 250 Employees,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,Neither agree nor disagree,Agree
11443603576,3/24/2020 23:53,White ,Male,25-34,Master's Degree or Higher,Self Employed/Entrepreneur,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11443633226,3/25/2020 0:05,White ,Male,25-34,Master's Degree or Higher,Short Term Contract Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11443658432,3/25/2020 0:16,White ,Male,18-24,High School Diploma/GED,Full Time Employee,One to five years,Pest control technician,One to five years,Mid level ,   In the last 1 to 5 years ,Extermination,For Profit,"1,000 to 10,000 Employees",Agree,Agree,Strongly agree,Agree,Agree,Agree
11443723980,3/25/2020 0:43,White ,Male,45-54,Bachelor's Degree,Full Time Employee,One to five years,Compliance Officer,Ten years or more,Senior level ,   In the last 1 to 5 years ,Finance & Financial Services ,For Profit,"250 to 1,000 Employees",Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree
11443756848,3/25/2020 0:55,White ,Male,25-34,Some College,Part Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11443931482,3/25/2020 2:21,White ,Male,25-34,Bachelor's Degree,Full Time Employee,Less than one year,National Account Manager,Five to ten years,Mid level ,    Within 12 Months,Retail & Consumer Durables ,For Profit,"More than 10,000 Employees",Agree,Agree,Agree,Agree,Agree,Agree
11443942871,3/25/2020 2:28,White ,Male,35-44,Bachelor's Degree,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11443958780,3/25/2020 2:35,White ,Female,45-54,Bachelor's Degree,Full Time Employee,One to five years,Data Analytics manager,Ten years or more,Mid level , Never been promoted   ,Finance & Financial Services ,For Profit,"More than 10,000 Employees",Agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree
11443988489,3/25/2020 2:51,White ,Female,35-44,Associate's Degree,Full Time Employee,Ten years or more,PACU RN,Ten years or more,Mid level , Never been promoted   ,Healthcare & Pharmaceuticals ,Non Profit,"1,000 to 10,000 Employees",Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree
11444238318,3/25/2020 4:49,White ,Male,18-24,High School Diploma/GED,Full Time Employee,One to five years,Carpenter,One to five years,Mid level , Never been promoted   ,"Construction, Machinery, and Homes ",For Profit,Less than 50 Employees,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree
11444388026,3/25/2020 6:01,White ,Female,35-44,Bachelor's Degree,Part Time Employee,Five to ten years,Business owner/Occupational therapy assistant,Five to ten years,Mid level ,Prefer not to answer    ,Education ,For Profit,Less than 50 Employees,Agree,Agree,Agree,Agree,Somewhat disagree,Agree
11444905635,3/25/2020 10:44,White ,Female,55-64,Associate's Degree,Full Time Employee,Ten years or more,Paralegsl,Ten years or more,Senior level ,Prefer not to answer    ,Legal Services ,For Profit,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11445115926,3/25/2020 12:22,Hispanic or Latino ,Female,55-64,Bachelor's Degree,Full Time Employee,Ten years or more,Supervisor,Ten years or more,"C Suite (CEO, CFO, COO, CTO, CSO) ",    Within 12 Months,Child Day Care Services ,For Profit,Less than 50 Employees,Somewhat agree,Somewhat disagree,Agree,Strongly disagree,Strongly disagree,Somewhat disagree
11445446213,3/25/2020 14:27,Black or African American ,Female,45-54,Master's Degree or Higher,Full Time Employee,One to five years,Patient Representative,Ten years or more,Mid level , Never been promoted   ,Healthcare & Pharmaceuticals ,Non Profit,"1,000 to 10,000 Employees",Strongly agree,Somewhat agree,Disagree,Disagree,Agree,Somewhat disagree
11445726106,3/25/2020 15:58,White ,Female,45-54,Associate's Degree,Full Time Employee,Ten years or more,Licensed Veterinary Technician,Ten years or more,Mid level ,   In the last 1 to 5 years ,Veterinary,For Profit,Less than 50 Employees,Disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree
11445756626,3/25/2020 16:08,White ,Female,65+,Some College,Unemployed,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11445755739,3/25/2020 16:08,Black or African American ,Male,35-44,Some College,Full Time Employee,One to five years,General warehouse associate,Five to ten years,Entry level ,Multiple Promotions,Retail & Consumer Durables ,For Profit,"1,000 to 10,000 Employees",Somewhat disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree
11445760453,3/25/2020 16:09,White ,Male,35-44,Associate's Degree,Full Time Employee,Less than one year,Resident Assistant,Less than one year,Entry level , Never been promoted   ,Nonprofit ,Non Profit,50 to 250 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11445760341,3/25/2020 16:10,Black or African American ,Male,35-44,Some High School,Full Time Employee,Ten years or more,Pitman,Ten years or more,Senior level ,  More than 5 years  ,Food & Beverages ,For Profit,50 to 250 Employees,Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat disagree
11445774816,3/25/2020 16:14,White ,Female,25-34,Bachelor's Degree,Full Time Employee,Less than one year,Business Intelligence Supervisor,Five to ten years,Mid level ,    Within 12 Months,Healthcare & Pharmaceuticals ,For Profit,"250 to 1,000 Employees",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
11445818283,3/25/2020 16:29,Black or African American ,Female,45-54,Bachelor's Degree,Full Time Employee,Five to ten years,CFO,Ten years or more,"C Suite (CEO, CFO, COO, CTO, CSO) ",  More than 5 years  ,Nonprofit ,Non Profit,Less than 50 Employees,Agree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Agree
11445834789,3/25/2020 16:34,Hispanic or Latino ,Female,25-34,Bachelor's Degree,Full Time Employee,One to five years,Forensic Accountant,One to five years,Mid level ,    Within 12 Months,Government ,Government,"More than 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11445862478,3/25/2020 16:44,Black or African American ,Male,35-44,Vocational/Technical School,Self Employed/Entrepreneur,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11445884768,3/25/2020 16:51,White ,Female,25-34,Associate's Degree,Full Time Employee,Declined to Answer,Declined to Answer,Declined to Answer, ,    , ,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
